2021-06-05 20:02:03 start train.
2021-06-06 07:05:31 EPOCH 35 ,g_loss:-278.19757080078125 d_loss:-1.3309099674224854 p_loss:0.013619950972497463 gp_loss:0.21741236746311188 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 07:24:09 EPOCH 36 ,g_loss:-242.99017333984375 d_loss:-1.3186718225479126 p_loss:0.013201650232076645 gp_loss:0.21334894001483917 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 07:42:27 EPOCH 37 ,g_loss:-229.1440887451172 d_loss:-1.332590103149414 p_loss:0.012929056771099567 gp_loss:0.20041170716285706 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 08:00:45 EPOCH 38 ,g_loss:-197.746337890625 d_loss:-1.3360201120376587 p_loss:0.013318045064806938 gp_loss:0.20416784286499023 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 08:19:03 EPOCH 39 ,g_loss:-170.75381469726562 d_loss:-1.2452869415283203 p_loss:0.013757185079157352 gp_loss:0.20071908831596375 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 08:37:22 EPOCH 40 ,g_loss:-211.46707153320312 d_loss:-1.2142611742019653 p_loss:0.013361671008169651 gp_loss:0.1965552270412445 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 08:55:56 EPOCH 41 ,g_loss:-254.16651916503906 d_loss:-1.190301775932312 p_loss:0.012821009382605553 gp_loss:0.17157258093357086 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 09:14:16 EPOCH 42 ,g_loss:-227.04481506347656 d_loss:-1.2394171953201294 p_loss:0.01378127746284008 gp_loss:0.18960456550121307 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 09:30:27 d_loss=0 here.
2021-06-06 09:32:35 EPOCH 43 ,g_loss:-258.1064758300781 d_loss:-1.2405426502227783 p_loss:0.013574725016951561 gp_loss:0.18242260813713074 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 09:50:54 EPOCH 44 ,g_loss:-301.998291015625 d_loss:-1.1904046535491943 p_loss:0.01344306580722332 gp_loss:0.17996016144752502 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 10:09:12 EPOCH 45 ,g_loss:-318.6775817871094 d_loss:-1.2032711505889893 p_loss:0.013085105456411839 gp_loss:0.17864324152469635 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 10:27:48 EPOCH 46 ,g_loss:-278.2718505859375 d_loss:-1.1510810852050781 p_loss:0.013896822929382324 gp_loss:0.20508649945259094 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 10:46:07 EPOCH 47 ,g_loss:-261.1898193359375 d_loss:-1.1741209030151367 p_loss:0.014087218791246414 gp_loss:0.18100827932357788 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
